MESE,FL_IMP,CP_IMP,FN_IMP,ST_IMP,FL_PER,CP_PER,FN_PER,ST_PER,FL_AZR,CP_AZR,FN_AZR,ST_AZR,FL_RET,CP_RET,FN_RET,ST_RET,FL_TOTRET_calcolato,CP_TOTRET_calcolato,FN_TOTRET_calcolato,ST_TOTRET_calcolato,FL_BDT_calcolato,CP_BDT_calcolato,FN_BDT_calcolato,ST_BDT_calcolato
2011/01,461,660,-199,119425,2914,3920,-1006,1794132,5605,6157,-552,888311,46605,33510,13095,8170283,52210,39667,12543,9058594,55585,44247,11338,10972151
2011/02,505,811,-306,118247,2875,4870,-1995,1794750,6786,7671,-885,887050,41718,40075,1643,8169959,48504,47746,758,9057009,51884,53427,-1543,10970006
2011/03,564,853,-289,117783,3551,5486,-1935,1793205,10615,7849,2766,891283,45593,42390,3203,8171023,56208,50239,5969,9062306,60323,56578,3745,10973294
2011/04,465,675,-210,117588,2799,4103,-1304,1793468,5892,6413,-521,891569,38851,32381,6470,8174662,44743,38794,5949,9066231,48007,43572,4435,10977287
2011/05,504,757,-253,117347,3078,4741,-1663,1796698,10477,6965,3512,892921,42435,41015,1420,8184246,52912,47980,4932,9077167,56494,53478,3016,10991212
2011/06,469,772,-303,117061,3512,4374,-862,1797243,6339,6899,-560,892492,45112,37556,7556,8188931,51451,44455,6996,9081423,55432,49601,5831,10995727
2011/07,463,658,-195,116863,2865,4297,-1432,1796910,5366,6527,-1161,891212,43724,35448,8276,8194976,49090,41975,7115,9086188,52418,46930,5488,10999961
2011/08,213,447,-234,116644,2565,3405,-840,1797220,2816,4450,-1634,889329,35055,29202,5853,8198799,37871,33652,4219,9088128,40649,37504,3145,11001992
2011/09,419,814,-395,116153,3843,4882,-1039,1794633,5017,7265,-2248,881239,51294,44380,6914,7987902,56311,51645,4666,8869141,60573,57341,3232,10779927
2011/10,435,741,-306,115856,6029,4585,1444,1796388,5737,6492,-755,880170,51949,36274,15675,8000867,57686,42766,14920,8881037,64150,48092,16058,10793281
2011/11,459,831,-372,115522,5529,4790,739,1800074,9013,7425,1588,879335,45456,41476,3980,8001683,54469,48901,5568,8881018,60457,54522,5935,10796614
2011/12,418,1544,-1126,114433,6856,6602,254,1799328,5273,12242,-6969,869133,70312,54070,16242,8019153,75585,66312,9273,8888286,82859,74458,8401,10802047
2012/01,444,758,-314,113885,4279,2929,1350,1527391,7623,7371,252,870429,80123,40153,39970,8332695,87746,47524,40222,9203124,92469,51211,41258,10844400
2012/02,442,690,-248,113273,3095,3097,-2,1531984,7613,7173,440,872047,69329,38424,30905,8354787,76942,45597,31345,9226834,80479,49384,31095,10872091
2012/03,491,707,-216,113023,3147,3360,-213,1535342,9539,7646,1893,873771,73915,42549,31366,8380735,83454,50195,33259,9254506,87092,54262,32830,10902871
2012/04,381,603,-222,112818,2191,2745,-554,1538385,5366,6003,-637,873402,50212,32625,17587,8392996,55578,38628,16950,9266398,58150,41976,16174,10917601
2012/05,521,721,-200,112657,2825,3476,-651,1539624,6441,7310,-869,872194,57629,38823,18806,8408464,64070,46133,17937,9280658,67416,50330,17086,10932939
2012/06,344,639,-295,112267,2630,2956,-326,1542274,5334,6443,-1109,870863,51062,31366,19696,8425484,56396,37809,18587,9296347,59370,41404,17966,10950888
2012/07,369,649,-280,111472,2624,2893,-269,1543885,4887,6458,-1571,868758,58065,30780,27285,8444965,62952,37238,25714,9313723,65945,40780,25165,10969080
2012/08,191,558,-367,111119,2124,2895,-771,1544928,3147,6268,-3121,865664,46500,31140,15360,8456993,49647,37408,12239,9322657,51962,40861,11101,10978704
2012/09,232,747,-515,110589,2319,2706,-387,1547743,4011,7100,-3089,862177,53988,30966,23022,8475513,57999,38066,19933,9337690,60550,41519,19031,10996022
2012/10,386,872,-486,109112,2679,3365,-686,1551050,5499,8207,-2708,856756,56781,35456,21325,8477690,62280,43663,18617,9334446,65345,47900,17445,10994608
2012/11,307,801,-494,108059,2237,3381,-1144,1551740,4899,7154,-2255,853497,48248,32807,15441,8484823,53147,39961,13186,9338320,55691,44143,11548,10998119
2012/12,280,1175,-895,106708,1506,3620,-2114,1551213,3403,9285,-5882,847177,38063,34061,4002,8483507,41466,43346,-1880,9330684,43252,48141,-4889,10988605
2013/01,432,872,-440,107891,3489,3249,240,1568612,7558,8132,-574,856273,59606,35777,23829,8571652,67164,43909,23255,9427925,71085,48030,23055,11104428
2013/02,434,749,-315,107585,3002,4034,-1032,1570352,7550,7421,129,855757,48291,34265,14026,8579480,55841,41686,14155,9435237,59277,46469,12808,11113174
2013/03,460,825,-365,107206,2462,3952,-1490,1572785,7579,7955,-376,854766,46624,36147,10477,8583305,54203,44102,10101,9438071,57125,48879,8246,11118062
2013/04,305,709,-404,106620,2427,3670,-1243,1576547,6581,6700,-119,852468,42050,32317,9733,8581804,48631,39017,9614,9434272,51363,43396,7967,11117439
2013/05,369,844,-475,106160,2438,3987,-1549,1578797,6934,7368,-434,851669,44388,50748,-6360,8570309,51322,58116,-6794,9421978,54129,62947,-8818,11106935
2013/06,284,739,-455,105718,2025,3205,-1180,1578295,5905,5891,14,851505,39081,29181,9900,8578465,44986,35072,9914,9429970,47295,39016,8279,11113983
2013/07,296,746,-450,105270,2036,3630,-1594,1578931,5753,6655,-902,850125,46187,32942,13245,8587829,51940,39597,12343,9437954,54272,43973,10299,11122155
2013/08,162,629,-467,104979,1405,3284,-1879,1578477,3055,5378,-2323,847759,34753,34722,31,8582345,37808,40100,-2292,9430104,39375,44013,-4638,11113560
2013/09,204,936,-732,104221,1931,3555,-1624,1578440,4091,6873,-2782,844710,46121,36509,9612,8587022,50212,43382,6830,9431732,52347,47873,4474,11114393
2013/10,278,1021,-743,103432,1986,3846,-1860,1579005,4996,7743,-2747,841757,43934,51225,-7291,8574973,48930,58968,-10038,9416730,51194,63835,-12641,11099167
2013/11,242,827,-585,102804,1668,3625,-1957,1577685,4527,6619,-2092,839599,39935,32657,7278,8579424,44462,39276,5186,9419023,46372,43728,2644,11099512
2013/12,243,1304,-1061,101712,1358,4183,-2825,1573520,3208,9172,-5964,833560,33301,39612,-6311,8568959,36509,48784,-12275,9402519,38110,54271,-16161,11077751
2014/01,335,971,-636,100908,2730,3705,-975,1577109,6098,7433,-1335,831412,47163,43471,3692,8565329,53261,50904,2357,9396741,56326,55580,746,11074758
2014/02,340,763,-423,100418,2477,3800,-1323,1577786,6239,7457,-1218,830471,39109,46293,-7184,8551984,45348,53750,-8402,9382455,48165,58313,-10148,11060659
2014/03,361,767,-406,100006,2641,3844,-1203,1578530,6065,7029,-964,829710,40982,34492,6490,8554125,47047,41521,5526,9383835,50049,46132,3917,11062371
2014/04,329,695,-366,99652,1715,3194,-1479,1578559,5342,6683,-1341,828874,36191,41467,-5276,8544840,41533,48150,-6617,9373714,43577,52039,-8462,11051925
2014/05,290,781,-491,99173,1485,3871,-2386,1603236,5048,6192,-1144,822520,39291,30611,8680,8529669,44339,36803,7536,9352189,46114,41455,4659,11054598
2014/06,234,626,-392,98774,1308,2749,-1441,1605096,4327,5184,-857,822654,35519,28283,7236,8531376,39846,33467,6379,9354030,41388,36842,4546,11057900
2014/07,326,712,-386,98336,1629,3394,-1765,1606676,4962,5993,-1031,822586,43369,32712,10657,8536290,48331,38705,9626,9358876,50286,42811,7475,11063888
2014/08,141,531,-390,97944,1083,2796,-1713,1607064,2573,4499,-1926,821579,30230,25657,4573,8536587,32803,30156,2647,9358166,34027,33483,544,11063174
2014/09,249,801,-552,97472,1501,3273,-1772,1609538,3925,6002,-2077,821435,43385,29036,14349,8543469,47310,35038,12272,9364904,49060,39112,9948,11071914
2014/10,281,910,-629,96882,1592,3772,-2180,1607849,4687,7448,-2761,819406,41191,44299,-3108,8537253,45878,51747,-5869,9356659,47751,56429,-8678,11061390
2014/11,248,744,-496,96096,1391,2942,-1551,1629183,3833,5615,-1782,809827,35866,27087,8779,8506574,39699,32702,6997,9316401,41338,36388,4950,11041680
2014/12,254,1025,-771,95380,1092,3519,-2427,1624757,2887,8003,-5116,805116,40867,37075,3792,8508871,43754,45078,-1324,9313987,45100,49622,-4522,11034124
2015/01,292,1102,-810,182857,1447,2473,-1026,1538510,3689,5372,-1683,577062,37570,28877,8693,8850177,41259,34249,7010,9427239,42998,37824,5174,11148606
2015/02,497,1015,-518,182437,2084,3004,-920,1537689,4383,4838,-455,577906,36008,32517,3491,8851204,40391,37355,3036,9429110,42972,41374,1598,11149236
2015/03,569,1198,-629,181738,2442,3983,-1541,1532142,4595,5807,-1212,578103,39800,39135,665,8850563,44395,44942,-547,9428666,47406,50123,-2717,11142546
2015/04,582,1022,-440,181253,2206,3717,-1511,1531468,4048,5070,-1022,577955,35581,36404,-823,8843375,39629,41474,-1845,9421330,42417,46213,-3796,11134051
2015/05,553,1072,-519,180700,2938,3745,-807,1532245,3772,4705,-933,577855,35061,33692,1369,8838923,38833,38397,436,9416778,42324,43214,-890,11129723
2015/06,575,1051,-476,180276,3548,3623,-75,1534794,3315,4288,-973,577488,36664,31659,5005,8836252,39979,35947,4032,9413740,44102,40621,3481,11128810
2015/07,736,1063,-327,179781,3893,3553,340,1538021,3659,4320,-661,577050,42562,31927,10635,8838799,46221,36247,9974,9415849,50850,40863,9987,11133651
2015/08,267,855,-588,179167,2577,2931,-354,1538666,2055,3537,-1482,576223,29827,26999,2828,8837611,31882,30536,1346,9413834,34726,34322,404,11131667
2015/09,518,1025,-507,178662,4613,2986,1627,1541996,3329,4214,-885,576388,45579,28785,16794,8849587,48908,32999,15909,9425975,54039,37010,17029,11146633
2015/10,641,1285,-644,178026,4245,3746,499,1545261,3502,5580,-2078,574699,42654,47807,-5153,8838482,46156,53387,-7231,9413181,51042,58418,-7376,11136468
2015/11,663,1366,-703,177128,4618,3550,1068,1547812,3129,5255,-2126,572739,40837,37973,2864,8830884,43966,43228,738,9403623,49247,48144,1103,11128563
