MESE;FL_IMP;CP_IMP;FL_PRS;CP_PRS;FL_AZR;CP_AZR;FL_RET;CP_RET
2011/01;461;660;2914;3920;5605;6157;46605;33510
2011/02;505;811;2875;4870;6786;7671;41718;40075
2011/03;564;853;3551;5486;10615;7849;45593;42390
2011/04;465;675;2799;4103;5892;6413;38851;32381
2011/05;504;757;3078;4741;10477;6965;42435;41015
2011/06;469;772;3512;4374;6339;6899;45112;37556
2011/07;463;658;2865;4297;5366;6527;43724;35448
2011/08;213;447;2565;3405;2816;4450;35055;29202
2011/09;419;814;3843;4882;5017;7265;51294;44380
2011/10;435;741;6029;4585;5737;6492;51949;36274
2011/11;459;831;5529;4790;9013;7425;45456;41476
2011/12;418;1544;6856;6602;5273;12242;70312;54070
2012/01;444;758;4279;2929;7623;7371;80123;40153
2012/02;442;690;3095;3097;7613;7173;69329;38424
2012/03;491;707;3147;3360;9539;7646;73915;42549
2012/04;381;603;2191;2745;5366;6003;50212;32625
2012/05;521;721;2825;3476;6441;7310;57629;38823
2012/06;344;639;2630;2956;5334;6443;51062;31366
2012/07;369;649;2624;2893;4887;6458;58065;30780
2012/08;191;558;2124;2895;3147;6268;46500;31140
2012/09;232;747;2319;2706;4011;7100;53988;30966
2012/10;386;872;2679;3365;5499;8207;56781;35456
2012/11;307;801;2237;3381;4899;7154;48248;32807
2012/12;280;1175;1506;3620;3403;9285;38063;34061
2013/01;432;872;3489;3249;7558;8132;59606;35777
2013/02;434;749;3002;4034;7550;7421;48291;34265
2013/03;460;825;2462;3952;7579;7955;46624;36147
2013/04;305;709;2427;3670;6581;6700;42050;32317
2013/05;369;844;2438;3987;6934;7368;44388;50748
2013/06;284;739;2025;3205;5905;5891;39081;29181
2013/07;296;746;2036;3630;5753;6655;46187;32942
2013/08;162;629;1405;3284;3055;5378;34753;34722
2013/09;204;936;1931;3555;4091;6873;46121;36509
2013/10;278;1021;1986;3846;4996;7743;43934;51225
2013/11;242;827;1668;3625;4527;6619;39935;32657
2013/12;243;1304;1358;4183;3208;9172;33301;39612
2014/01;335;971;2730;3705;6098;7433;47163;43471
2014/02;340;763;2477;3800;6239;7457;39109;46293
2014/03;361;767;2641;3844;6065;7029;40982;34492
2014/04;329;695;1715;3194;5342;6683;36191;41467
2014/05;290;781;1485;3871;5048;6192;39291;30611
2014/06;234;626;1308;2749;4327;5184;35519;28283
2014/07;326;712;1629;3394;4962;5993;43369;32712
2014/08;141;531;1083;2796;2573;4499;30230;25657
2014/09;249;801;1501;3273;3925;6002;43385;29036
2014/10;281;910;1592;3772;4687;7448;41191;44299
2014/11;248;744;1391;2942;3833;5615;35866;27087
2014/12;254;1025;1092;3519;2887;8003;40867;37075
2015/01;292;1102;1447;2473;3689;5372;37570;28877
2015/02;497;1015;2084;3004;4383;4838;36008;32517
2015/03;569;1198;2442;3983;4595;5807;39800;39135
2015/04;582;1022;2206;3717;4048;5070;35581;36404
2015/05;553;1072;2938;3745;3772;4705;35061;33692
2015/06;575;1051;3548;3623;3315;4288;36664;31659
2015/07;736;1063;3893;3553;3659;4320;42562;31927
2015/08;267;855;2577;2931;2055;3537;29827;26999
2015/09;518;1025;4613;2986;3329;4214;45579;28785
2015/10;641;1285;4245;3746;3502;5580;42654;47807
2015/11;663;1366;4618;3550;3129;5255;40837;37973
2015/12;609;1789;6807;3945;2847;6740;46210;41468
2016/01;761;1377;5762;4160;4270;5076;50317;37012
2016/02;891;1399;5184;4418;4632;5354;47143;43378
2016/03;928;1408;4518;4192;4647;5417;42732;45515
2016/04;871;1168;3816;4071;4034;4654;37650;41372
2016/05;790;1291;4342;4378;4028;4751;39217;39515
2016/06;817;1250;3664;3813;3540;4309;37420;36092
2016/07;858;1209;4060;3509;3505;4046;42225;34491
2016/08;438;1066;3096;3272;2244;3674;33545;27714
2016/09;800;1206;4558;3274;3230;4328;44342;29604
2016/10;891;1279;4601;3687;3287;4745;38435;53391
2016/11;934;1300;4641;3759;3312;4547;38272;37268
2016/12;743;2215;5826;4149;2864;5766;40190;39150
2017/01;1012;1438;4460;4523;3693;5000;43630;36245
2017/02;1162;1061;3849;4235;4475;4113;37511;35527
2017/03;1283;1538;3817;4819;5053;5894;41003;42037
2017/04;934;969;3040;3891;4039;3399;33141;30508
2017/05;1217;1249;3715;4924;4706;4342;40803;37911
2017/06;1028;1132;3165;4637;3661;3689;37534;33095
2017/07;917;1015;3252;4889;3589;4013;37057;36210
